"Rank","Player","Team","Bye","POS","AVG"
"89","Kyler Murray","ARI","8","QB9","88.0"
"90","Jayden Reed","GB","5","WR45","88.5"
"91","Justin Fields","NYJ","9","QB10","95.0"
"92","Jaylen Warren","PIT","5","RB31","95.5"
"93","Cooper Kupp","SEA","8","WR46","96.0"
"94","Matthew Golden","GB","5","WR47","97.5"
"95","Darnell Mooney","ATL","5","WR48","97.5"
"96","Caleb Williams","CHI","5","QB11","97.5"
"97","Brock Purdy","SF","14","QB12","98.5"
"98","Najee Harris","LAC","12","RB32","100.0"
"99","Tyrone Tracy Jr.","NYG","14","RB33","101.5"
"100","Michael Pittman Jr.","IND","11","WR49","101.5"
"101","Emeka Egbuka","TB","9","WR50","102.0"
"102","Travis Etienne Jr.","JAC","8","RB34","102.0"
"103","Jared Goff","DET","8","QB13","102.5"
"104","Dak Prescott","DAL","10","QB14","103.0"
"105","Mark Andrews","BAL","7","TE7","103.0"
"106","Jordan Mason","MIN","6","RB35","105.0"
"107","Zach Charbonnet","SEA","8","RB36","107.0"
"108","Evan Engram","DEN","12","TE8","107.5"
"109","Brandon Aiyuk","SF","14","WR51","107.5"
"110","Cam Skattebo","NYG","14","RB37","108.5"
"111","Justin Herbert","LAC","12","QB15","110.0"
"112","Keon Coleman","BUF","7","WR52","112.0"
"113","David Njoku","CLE","9","TE9","113.5"
"114","Drake Maye","NE","14","QB16","113.5"
"115","Rashid Shaheed","NO","11","WR53","115.0"
"116","Jordan Love","GB","5","QB17","116.0"
"117","J.K. Dobbins","DEN","12","RB38","119.0"
"118","C.J. Stroud","HOU","6","QB18","120.0"
"119","Rhamondre Stevenson","NE","14","RB39","120.5"
"120","J.J. McCarthy","MIN","6","QB19","120.5"
"121","Jayden Higgins","HOU","6","WR54","121.0"
"122","Jonnu Smith","PIT","5","TE10","121.5"
"123","Tyler Warren","IND","11","TE11","121.5"
"124","Javonte Williams","DAL","10","RB40","122.0"
"125","Trevor Lawrence","JAC","8","QB20","123.5"
"126","Christian Kirk","HOU","6","WR55","123.5"
"127","Rashod Bateman","BAL","7","WR56","124.0"
"128","Tyjae Spears","TEN","10","RB41","124.5"
"129","Tucker Kraft","GB","5","TE12","126.0"
"130","Luther Burden III","CHI","5","WR57","127.5"
"131","Tre Harris","LAC","12","WR58","132.5"
"132","Marvin Mims Jr.","DEN","12","WR59","133.0"
"133","Michael Penix Jr.","ATL","5","QB21","136.0"
"134","Tua Tagovailoa","MIA","12","QB22","136.5"
"135","Marquise Brown","KC","10","WR60","136.5"
"136","Bhayshul Tuten","JAC","8","RB42","137.5"
"137","Jaydon Blue","DAL","10","RB43","138.0"
"138","Dalton Kincaid","BUF","7","TE13","138.5"
"139","Trey Benson","ARI","8","RB44","138.5"
"140","Dallas Goedert","PHI","9","TE14","138.5"
"141","Rachaad White","TB","9","RB45","138.5"
"142","Matthew Stafford","LAR","8","QB23","142.5"
"143","Bryce Young","CAR","14","QB24","142.5"
"144","Colston Loveland","CHI","5","TE15","143.5"
"145","Isaac Guerendo","SF","14","RB46","143.5"
"146","Ray Davis","BUF","7","RB47","144.0"
"147","Cedric Tillman","CLE","9","WR61","144.0"
"148","Tank Bigsby","JAC","8","RB48","145.0"
"149","Jake Ferguson","DAL","10","TE16","148.0"
"150","Kyle Williams","NE","14","WR62","150.0"
"151","Isaiah Likely","BAL","7","TE17","152.0"
"152","Austin Ekeler","WAS","12","RB49","152.5"
"153","Geno Smith","LV","8","QB25","153.0"
"154","Adam Thielen","CAR","14","WR63","154.5"
"155","Cameron Ward","TEN","10","QB26","155.5"
"156","Romeo Doubs","GB","5","WR64","156.0"
"157","Quentin Johnston","LAC","12","WR65","156.5"
"158","Kyle Pitts","ATL","5","TE18","157.0"
"159","Jalen McMillan","TB","9","WR66","157.5"
"160","Sam Darnold","SEA","8","QB27","160.5"
"161","Tyler Allgeier","ATL","5","RB50","160.5"
"162","Wan'Dale Robinson","NYG","14","WR67","162.0"
"163","Jaylen Wright","MIA","12","RB51","163.0"
"164","Rico Dowdle","CAR","14","RB52","166.0"
"165","Zach Ertz","WAS","12","TE19","166.5"
"166","Hunter Henry","NE","14","TE20","167.5"
"167","Xavier Legette","CAR","14","WR68","169.5"
"168","Braelon Allen","NYJ","9","RB53","169.5"
"169","Roschon Johnson","CHI","5","RB54","171.0"
"170","Brenton Strange","JAC","8","TE21","171.0"
"171","Jack Bech","LV","8","WR69","171.5"
"172","Aaron Rodgers","PIT","5","QB28","172.5"
"173","Pat Freiermuth","PIT","5","TE22","175.0"
"174","Mike Gesicki","CIN","10","TE23","175.0"
"175","DeMario Douglas","NE","14","WR70","176.0"
"176","Joshua Palmer","BUF","7","WR71","176.5"
"177","Keenan Allen","","","WR72","178.0"
"178","Dylan Sampson","CLE","9","RB55","178.5"
"179","Cade Otton","TB","9","TE24","182.0"
"180","Pat Bryant","DEN","12","WR73","182.5"
"181","Alec Pierce","IND","11","WR74","182.5"
"182","Justice Hill","BAL","7","RB56","183.0"
"183","Nick Chubb","HOU","6","RB57","183.0"
"184","Chig Okonkwo","TEN","10","TE25","187.5"
"185","Daniel Jones","IND","11","QB29","191.0"
"186","Mason Taylor","NYJ","9","TE26","193.0"
"187","Jerome Ford","CLE","9","RB58","193.5"
"188","Will Shipley","PHI","9","RB59","194.0"
"189","MarShawn Lloyd","GB","5","RB60","194.0"
"190","Anthony Richardson Sr.","IND","11","QB30","194.5"
"191","DeAndre Hopkins","BAL","7","WR75","194.5"
"192","Jaylin Noel","HOU","6","WR76","195.5"
"193","Michael Wilson","ARI","8","WR77","196.0"
"194","Kareem Hunt","KC","10","RB61","202.0"
"195","Dyami Brown","JAC","8","WR78","203.5"
"196","Juwan Johnson","NO","11","TE27","204.5"
"197","Blake Corum","LAR","8","RB62","205.5"
"198","Russell Wilson","NYG","14","QB31","205.5"
"199","DJ Giddens","IND","11","RB63","209.0"
"200","Darius Slayton","NYG","14","WR79","209.5"
"201","Jarquez Hunter","LAR","8","RB64","211.0"
"202","Devin Neal","NO","11","RB65","211.0"
"203","Calvin Austin III","PIT","5","WR80","211.0"
"204","Dalton Schultz","HOU","6","TE28","212.0"
"205","Jalen Coker","CAR","14","WR81","214.0"
"206","Tyler Shough","NO","11","QB32","214.5"
"207","Miles Sanders","DAL","10","RB66","215.0"
"208","Dontayvion Wicks","GB","5","WR82","219.0"
"209","Amari Cooper","","","WR83","220.0"
"210","Andrei Iosivas","CIN","10","WR84","220.0"
"211","Theo Johnson","NYG","14","TE29","220.5"
"212","Tutu Atwell","LAR","8","WR85","221.0"
"213","Dont'e Thornton Jr.","LV","8","WR86","221.5"
"214","Brashard Smith","KC","10","RB67","222.0"
"215","Denver Broncos","DST","12","DST1","166.0"
"216","Jaxson Dart","NYG","14","QB33","227.5"
"217","Darren Waller","MIA","12","TE30","229.0"
"218","Jalen Tolbert","DAL","10","WR87","230.0"
"219","Tyler Lockett","TEN","10","WR88","230.5"
"220","Philadelphia Eagles","DST","9","DST2","179.0"
"221","Ja'Tavion Sanders","CAR","14","TE31","231.0"
"222","Baltimore Ravens","DST","7","DST3","182.0"
"223","Elic Ayomanor","TEN","10","WR89","232.5"
"224","Raheem Mostert","LV","8","RB68","233.0"
"225","Mike Williams","LAC","12","WR90","233.5"
"226","Pittsburgh Steelers","DST","5","DST4","185.0"
"227","Adonai Mitchell","IND","11","WR91","234.0"
"228","Cole Kmet","CHI","5","TE32","235.5"
"229","Minnesota Vikings","DST","6","DST5","189.0"
"230","Houston Texans","DST","6","DST6","190.0"
"231","Buffalo Bills","DST","7","DST7","192.0"
"232","Keaton Mitchell","BAL","7","RB69","238.5"
"233","Tahj Brooks","CIN","10","RB70","238.5"
"234","Diontae Johnson","CLE","9","WR92","240.5"
"235","Ray-Ray McCloud III","ATL","5","WR93","240.5"
"236","Jalen Royals","KC","10","WR94","241.0"
"237","Kansas City Chiefs","DST","10","DST8","200.0"
"238","Joe Flacco","CLE","9","QB34","242.0"
"239","Los Angeles Chargers","DST","12","DST9","202.0"
"240","Sean Tucker","TB","9","RB71","243.5"
"241","Shedeur Sanders","CLE","9","QB35","243.5"
"242","Detroit Lions","DST","8","DST10","205.0"
"243","Elijah Arroyo","SEA","8","TE33","244.0"
"244","Green Bay Packers","DST","5","DST11","207.0"
