"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"101",8,"Tucker Kraft",GB,"138.3","0","0","50","707","7","3","6","0"
"102",8,"Stefon Diggs",NE,"98.4","0","0","47","496","3","3","8","1"
"103",8,"Josh Downs",IND,"147.5","0","0","72","803","5","1","12","0"
"104",8,"Javonte Williams",DAL,"131.9","0","0","52","346","0","139","513","4"
"105",8,"Rhamondre Stevenson",NE,"159.4","0","0","33","168","1","207","801","7"
"106",8,"Ricky Pearsall",SF,"78","0","0","31","400","3","3","45","0"
"107",8,"Zach Charbonnet",SEA,"165.9","0","0","42","340","1","135","569","8"
"108",8,"Drake Maye",NE,"187.1","2276","15","0","0","0","54","421","2"
"109",8,"Jordan Love",GB,"244.9","3389","25","0","0","0","25","83","1"
"110",8,"Cooper Kupp",SEA,"141.5","0","0","67","710","6","2","10","0"
"111",8,"Michael Pittman Jr.",IND,"131.3","0","0","69","808","3","0","0","0"
"112",8,"Jordan Mason",MIN,"109.5","0","0","11","91","0","153","789","3"
"113",8,"Jonnu Smith",PIT,"178.3","0","0","88","884","8","2","-1","0"
"114",8,"Brandon Aiyuk",SF,"49.9","0","0","25","374","0","0","0","0"
"115",8,"Cam Skattebo",NYG,"0","0","0","0","0","0","0","0","0"
"116",8,"C.J. Stroud",HOU,"232.4","3727","20","0","0","0","52","233","0"
"117",8,"Trevor Lawrence",JAC,"152.2","2045","11","0","0","0","26","119","3"
"118",8,"Tyjae Spears",TEN,"98.6","0","0","30","224","1","84","312","4"
"119",8,"Dalton Kincaid",BUF,"78.8","0","0","44","448","2","0","0","0"
"120",8,"Darnell Mooney",ATL,"161.2","0","0","64","992","5","0","0","0"
"121",8,"Tank Bigsby",JAC,"125.5","0","0","7","54","0","168","766","7"
"122",9,"Dallas Goedert",PHI,"82.6","0","0","42","496","2","0","0","0"
"123",9,"Rachaad White",TB,"174.1","0","0","51","393","6","144","613","3"
"124",9,"Jake Ferguson",DAL,"74.9","0","0","59","494","0","0","0","0"
"125",9,"J.J. McCarthy",MIN,"0","0","0","0","0","0","0","0","0"
"126",9,"Tyler Warren",IND,"0","0","0","0","0","0","0","0","0"
"127",9,"Ray Davis",BUF,"107.6","0","0","17","189","3","113","442","3"
"128",9,"Matthew Golden",GB,"0","0","0","0","0","0","0","0","0"
"129",9,"Matthew Stafford",LAR,"222.6","3762","20","0","0","0","30","41","0"
"130",9,"Keon Coleman",BUF,"97","0","0","29","556","4","1","9","0"
"131",9,"Austin Ekeler",WAS,"114.8","0","0","35","366","0","77","367","4"
"132",9,"Tua Tagovailoa",MIA,"188.6","2867","19","0","0","0","17","49","0"
"133",9,"Christian Kirk",HOU,"57.4","0","0","27","379","1","0","0","0"
"134",9,"Rashid Shaheed",NO,"69.8","0","0","20","349","3","6","29","0"
"135",9,"Trey Benson",ARI,"44","0","0","6","59","0","63","291","1"
"136",9,"Isaac Guerendo",SF,"86.7","0","0","15","152","0","84","420","4"
"137",9,"Rico Dowdle",CAR,"178.3","0","0","39","249","3","235","1079","2"
"138",9,"Tyler Allgeier",ATL,"99.7","0","0","13","88","0","137","644","3"
"139",9,"Emeka Egbuka",TB,"0","0","0","0","0","0","0","0","0"
"140",9,"Colston Loveland",CHI,"0","0","0","0","0","0","0","0","0"
"141",9,"Luther Burden III",CHI,"0","0","0","0","0","0","0","0","0"
"142",9,"Rashod Bateman",BAL,"152.1","0","0","45","756","9","0","0","0"
"143",9,"Bhayshul Tuten",JAC,"0","0","0","0","0","0","0","0","0"
"144",9,"Hunter Henry",NE,"112.4","0","0","66","674","2","0","0","0"
"145",9,"Bryce Young",CAR,"204","2403","15","0","0","0","43","249","6"
"146",9,"Marvin Mims Jr.",DEN,"110","0","0","39","503","6","13","42","0"
"147",9,"Cedric Tillman",CLE,"65.9","0","0","29","339","3","1","-5","0"
"148",9,"Kyle Pitts",ATL,"107.7","0","0","47","602","4","0","0","0"
