name,position,team,proj_points
Rome Odunze,WR,Chi,216.9
Tony Pollard,RB,Ten,219.3
T.J. Hockenson,TE,Min,183.6
Calvin Ridley,WR,Ten,230.1
Kaleb Johnson,RB,Pit,217.3
Jameson Williams,WR,Det,217.6
Travis Hunter,"WR, CB",Jax,213.0
TreVeyon Henderson,RB,NE,206.0
Jerry Jeudy,WR,Cle,227.6
Tetairoa McMillan,Car,Q,212.4
Travis Kelce,TE,KC,171.9
Patrick Mahomes,QB,KC,322.9
Matthew Golden,WR,GB,205.3
Isiah Pacheco,RB,KC,208.8
Chris Olave,WR,NO,205.7
Jordan Addison,WR,Min,215.6
Javonte Williams,RB,Dal,211.5
Cooper Kupp,WR,Sea,205.7
Rhamondre Stevenson,RB,NE,183.9
Jaylen Warren,RB,Pit,194.9
David Njoku,TE,Cle,172.8
Jauan Jennings,SF,Q,209.6
Cam Skattebo,RB,NYG,155.2
Deebo Samuel Sr.,WR,Wsh,201.6
Khalil Shakir,WR,Buf,206.6
Bo Nix,QB,Den,300.4
Mark Andrews,TE,Bal,170.9
Tyrone Tracy Jr.,RB,NYG,197.1
Stefon Diggs,NE,Q,165.6
Chris Godwin,TB,Q,190.8
Baker Mayfield,QB,TB,309.1
Jakobi Meyers,WR,LV,215.2
Austin Ekeler,RB,Wsh,172.2
Keon Coleman,WR,Buf,191.2
Brian Robinson Jr.,RB,Wsh,200.6
Ricky Pearsall,SF,Q,192.8
Evan Engram,TE,Den,168.6
Travis Etienne Jr.,RB,Jax,155.3
Michael Pittman Jr.,Ind,Q,183.1
Zach Charbonnet,RB,Sea,112.9
Kyler Murray,QB,Ari,306.3
Jayden Reed,WR,GB,181.1
Tyjae Spears,RB,Ten,148.0
Brock Purdy,QB,SF,306.9
Darnell Mooney,WR,Atl,170.5
Rachaad White,RB,TB,129.5
Tank Bigsby,RB,Jax,130.4
Caleb Williams,QB,Chi,279.3
Jayden Higgins,WR,Hou,166.1
Jonnu Smith,TE,Pit,135.0
Najee Harris,LAC,Q,118.1
Bhayshul Tuten,RB,Jax,63.7
Colston Loveland,Chi,Q,155.3
Jack Bech,WR,LV,148.6
Rashid Shaheed,WR,NO,183.7
Emeka Egbuka,WR,TB,142.8
Jaydon Blue,RB,Dal,79.4
Jordan Mason,RB,Min,118.7
Justin Herbert,QB,LAC,284.0
Tyler Allgeier,RB,Atl,97.3
Isaac Guerendo,RB,SF,87.0
Hollywood Brown,WR,KC,147.4
Justin Fields,QB,NYJ,296.7
Xavier Legette,WR,Car,154.6
Adam Thielen,WR,Car,166.9
Trey Benson,RB,Ari,113.4
Ray Davis,RB,Buf,81.0
Dalton Kincaid,TE,Buf,147.2
Roschon Johnson,RB,Chi,103.6
Texans D/ST,D/ST,Hou,133.0
Broncos D/ST,D/ST,Den,123.0
Tyler Warren,TE,Ind,145.7
Marvin Mims Jr.,WR,Den,149.2
Tucker Kraft,TE,GB,160.5
Luther Burden III,Chi,Q,116.2
Brandon Aiyuk,SF,Q,84.5
Steelers D/ST,D/ST,Pit,131.6
Jake Bates,K,Det,144.9
Brandon Aubrey,Dal,Q,142.0
Tre Harris,WR,LAC,146.8
Lions D/ST,D/ST,Det,122.8
Patriots D/ST,D/ST,NE,116.5
Kyle Williams,WR,NE,127.9
Drake Maye,QB,NE,273.8
Josh Downs,WR,Ind,163.7
Vikings D/ST,D/ST,Min,121.5
Dak Prescott,QB,Dal,284.3
Ravens D/ST,D/ST,Bal,119.2
Cedric Tillman,WR,Cle,163.1
Cameron Dicker,K,LAC,143.4
Chase McLaughlin,K,TB,146.0
Dallas Goedert,TE,Phi,156.7
Kareem Hunt,RB,KC,108.3
Seahawks D/ST,D/ST,Sea,119.4
Blake Corum,RB,LAR,52.4
Eagles D/ST,D/ST,Phi,97.3
Tyler Bass,K,Buf,141.1
Cardinals D/ST,D/ST,Ari,98.5
Wan'Dale Robinson,WR,NYG,152.0
Jake Elliott,K,Phi,141.0
Jason Sanders,K,Mia,140.5
Rashod Bateman,WR,Bal,133.6
Christian Kirk,WR,Hou,110.5
Tyler Loop,K,Bal,139.9
Jets D/ST,D/ST,NYJ,96.0
MarShawn Lloyd,RB,GB,86.7
Woody Marks,RB,Hou,36.4
Pat Freiermuth,TE,Pit,133.8
Chris Boswell,K,Pit,138.3
J.J. McCarthy,QB,Min,281.8
C.J. Stroud,QB,Hou,272.0
Jordan Love,QB,GB,261.5
Pat Bryant,WR,Den,95.6
Jaleel McLaughlin,RB,Den,15.6
Bills D/ST,D/ST,Buf,104.9
Ka'imi Fairbairn,K,Hou,137.0
Jalen McMillan,WR,TB,98.3
Joshua Karty,K,LAR,137.2
49ers D/ST,D/ST,SF,72.6
Braelon Allen,RB,NYJ,83.8
Anthony Richardson Sr.,Ind,Q,180.7
Brenton Strange,TE,Jax,139.7
Harrison Butker,K,KC,138.5
Packers D/ST,D/ST,GB,84.3
Cairo Santos,K,Chi,139.3
Nick Chubb,RB,Hou,92.2
Daniel Carlson,K,LV,130.1
Dolphins D/ST,D/ST,Mia,73.4
Matt Gay,K,Wsh,139.7
Justice Hill,RB,Bal,114.2
Brandon McManus,K,GB,135.5
Isaiah Likely,TE,Bal,112.7
J.K. Dobbins,RB,Den,155.4
Jake Ferguson,TE,Dal,149.0
Jared Goff,QB,Det,259.9
Hunter Henry,TE,NE,148.6
Chig Okonkwo,TE,Ten,144.4
Tua Tagovailoa,QB,Mia,274.2
Matthew Stafford,QB,LAR,274.6
Zach Ertz,TE,Wsh,140.6
Michael Wilson,WR,Ari,115.9
Mike Williams,LAC,Q,118.4
Jaylen Wright,RB,Mia,72.9
Will Shipley,RB,Phi,56.6
Quentin Johnston,WR,LAC,102.7
Kyle Pitts,Atl,Q,142.1
Darren Waller,TE,Mia,144.1
Colts D/ST,D/ST,Ind,107.5
Romeo Doubs,WR,GB,130.2
Zack Moss,RB,Cin,68.2
Trevor Lawrence,Jax,Q,278.2
Cameron Ward,QB,Ten,254.5
Michael Penix Jr.,QB,Atl,249.8
Tyler Lockett,WR,Ten,117.4
DeMario Douglas,WR,NE,117.4
Nick Westbrook-Ikhine,Mia,Q,119.9
Joshua Palmer,WR,Buf,76.4
Diontae Johnson,WR,Cle,107.4
Mike Gesicki,TE,Cin,137.1
Brandin Cooks,WR,NO,108.0
Darius Slayton,WR,NYG,114.6
DeAndre Hopkins,WR,Bal,86.4
Adonai Mitchell,WR,Ind,78.3
Kendre Miller,RB,NO,81.1
Cade Otton,TE,TB,139.8
Dalton Schultz,TE,Hou,121.4
Bryce Young,QB,Car,264.3
Geno Smith,QB,LV,257.6
Jerome Ford,RB,Cle,73.0
Dylan Sampson,RB,Cle,45.6
Rico Dowdle,RB,Car,83.7
Alexander Mattison,RB,Mia,47.0
Raheem Mostert,RB,LV,46.3
Christian Watson,GB,Q,39.8
Andrei Iosivas,WR,Cin,81.8
Allen Lazard,WR,NYJ,88.4
Calvin Austin III,WR,Pit,89.4
Alec Pierce,WR,Ind,72.6
Jaylin Noel,WR,Hou,65.2
Ray-Ray McCloud III,WR,Atl,108.6
Giants D/ST,D/ST,NYG,108.5
Miles Sanders,RB,Dal,44.2
DJ Giddens,RB,Ind,19.5
Trevor Etienne,RB,Car,21.7
Jarquez Hunter,RB,LAR,26.8
Sincere McCormick,RB,LV,21.8
Antonio Gibson,RB,NE,10.2
Devin Singletary,RB,NYG,10.9
Ty Johnson,RB,Buf,54.5
Samaje Perine,RB,Cin,31.6
Elijah Mitchell,RB,KC,29.9
Sean Tucker,RB,TB,28.1
Clyde Edwards-Helaire,RB,NO,28.1
Tutu Atwell,WR,LAR,95.3
Jalen Coker,WR,Car,73.4
Buccaneers D/ST,D/ST,TB,104.2
Evan McPherson,K,Cin,136.0
Mason Taylor,TE,NYJ,122.2
Tyler Higbee,TE,LAR,124.0
Theo Johnson,TE,NYG,121.5
Dyami Brown,WR,Jax,107.5
Jalen Tolbert,WR,Dal,69.7
Josh Reynolds,WR,NYJ,103.6
Cordarrelle Patterson,RB,Pit,27.6
Kyle Juszczyk,RB,SF,27.1
Sam Darnold,QB,Sea,245.8
Aaron Rodgers,QB,Pit,231.4
Russell Wilson,QB,NYG,120.0
Tyler Shough,QB,NO,151.2
Noah Brown,Wsh,Q,76.8
KaVontae Turpin,WR,Dal,71.4
Malik Washington,WR,Mia,45.3
Tre Tucker,WR,LV,62.3
Van Jefferson,WR,Ten,61.6
Emari Demercado,RB,Ari,26.9
Kyle Monangai,RB,Chi,25.4
Devin Neal,RB,NO,23.2
Alec Ingold,RB,Mia,22.3
Keaton Mitchell,RB,Bal,21.4
Dare Ogunbowale,RB,Hou,21.0
Jordan James,RB,SF,20.4
Isaiah Davis,RB,NYJ,18.2
Greg Dortch,WR,Ari,59.7
Chiefs D/ST,D/ST,KC,96.7
Jason Myers,K,Sea,135.1
Wil Lutz,K,Den,134.4
Noah Fant,TE,Sea,116.5
Juwan Johnson,TE,NO,113.2
Ja'Tavion Sanders,TE,Car,101.3
Elijah Arroyo,TE,Sea,82.1
Jordan Whittington,WR,LAR,58.8
Marquez Valdes-Scantling,WR,Sea,57.7
Daniel Jones,QB,Ind,108.7
Bears D/ST,D/ST,Chi,90.9
Rams D/ST,D/ST,LAR,84.2
